BINTYPE,CUBEID,CAPMETHOD,STORAGE,TEMP,RECV,PICK,STAGE,SHIP,VALUEADD,PRINTER,DOOR,TRAILER,EXTERNALDEVICE,DISPLAY,FLOOR,ALLOWPUT,ALLOWPICK,MAXWEIGHT,MAXTYPEIN,MINTYPEIN,MAXTYPEOUT,MINTYPEOUT,CREATEDATETIME,CHANGEDATETIME,CHANGEUSER,TIMESTAMP,ALLOWMIXEDCUSTOWNER,ALLOWMIXEDSKU,ALLOWBULKMOVEFROM,ALLOWBULKMOVETO,ALLOWBULKMOVETONONEMPTY,CONSOLIDATECONTAINER,ALLOWHOLD,ALLOWDAMAGED,DAMAGECATEGORY,CUSTOWNER,MISC1,MISC2,MISC3,MISC4,HVR_IS_DELETED,HVR_CHANGE_TIME
HALFGAYLORD1-NOMIX-MACK,HALFGAYLORD1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-11-02 00:00:00.000,2020-11-02 00:00:00.000,ip,000000009496F77D,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,MACKWELDON,,,,,0,2022-08-06 20:49:58.953 +0000
HALFGAYLORD1-NOMIX-PELO,HALFGAYLORD1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-11-02 00:00:00.000,2020-11-02 00:00:00.000,ip,000000009496F77E,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,PELOTON,,,,,0,2022-08-06 20:49:58.953 +0000
HOLD,,INFINITE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9999999,,,,,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000,system,0000000032DF73C5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,,ALL,,,,,0,2022-08-06 20:49:58.953 +0000
ICBIN,,INFINITE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9999999,,,,,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000,system,00000000424262BC,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 20:49:58.953 +0000
INVCTRL,,INFINITE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,9999999,,,,,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000,system,0000000069194F45,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 20:49:58.953 +0000
KINV,,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000,system,0000000032DF73C7,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 20:49:58.953 +0000
KIVA,,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000,system,0000000032DF73C8,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 20:49:58.953 +0000
KWST,,INFINITE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,9999999,,,,,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000,system,0000000032DF73C9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 20:49:58.953 +0000
OV-BINBOX1,,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,00000000400DF979,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,OUTDOORVOICES,,,,,0,2022-08-06 20:49:58.953 +0000
OV-BINBOX1NOMIX,,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,00000000400E009B,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,OUTDOORVOICES,,,,,0,2022-08-06 20:49:58.953 +0000
