BINTYPE,CUBEID,CAPMETHOD,STORAGE,TEMP,RECV,PICK,STAGE,SHIP,VALUEADD,PRINTER,DOOR,TRAILER,EXTERNALDEVICE,DISPLAY,FLOOR,ALLOWPUT,ALLOWPICK,MAXWEIGHT,MAXTYPEIN,MINTYPEIN,MAXTYPEOUT,MINTYPEOUT,CREATEDATETIME,CHANGEDATETIME,CHANGEUSER,TIMESTAMP,ALLOWMIXEDCUSTOWNER,ALLOWMIXEDSKU,ALLOWBULKMOVEFROM,ALLOWBULKMOVETO,ALLOWBULKMOVETONONEMPTY,CONSOLIDATECONTAINER,ALLOWHOLD,ALLOWDAMAGED,DAMAGECATEGORY,CUSTOWNER,MISC1,MISC2,MISC3,MISC4,HVR_IS_DELETED,HVR_CHANGE_TIME
BINBOX1,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,00000000774E6D37,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ALL,,,,,0,2022-08-06 16:29:22.370 +0000
BINBOX1-ADAY,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2020-11-11 00:00:00.000,2020-11-11 00:00:00.000,ip,00000000774E6D38,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,ADAY,,2,,,0,2022-08-06 16:29:22.370 +0000
BINBOX1-AWAY,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-02-21 00:00:00.000,2018-02-21 00:00:00.000,ip,00000000774E6D39,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AWAY,,,,,0,2022-08-06 16:29:22.370 +0000
BINBOX1-AWAYNOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-07-18 00:00:00.000,2017-07-18 00:00:00.000,ip,00000000774E6D3A,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,AWAY,,,,,0,2022-08-06 16:29:22.370 +0000
BINBOX1-BOMB,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2019-10-30 00:00:00.000,ip,00000000774E6D3B,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BOMBFELL,,5,,,0,2022-08-06 16:29:22.370 +0000
BINBOX1-BOMBNOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-10-25 00:00:00.000,2017-10-25 00:00:00.000,ip,00000000774E6D3C,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BOMBFELL,,,,,0,2022-08-06 16:29:22.370 +0000
BINBOX1-BRAS,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2013-09-23 00:00:00.000,2013-09-23 00:00:00.000,system,00000000774E6D3D,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BRASS,,,,,0,2022-08-06 16:29:22.370 +0000
BINBOX1-BRASNOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-02-23 12:00:00.000,2018-02-23 12:00:00.000,jbartlett,00000000774E6D3E,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,BRASS,,,,,0,2022-08-06 16:29:22.370 +0000
BINBOX1-CLENOMIX,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2017-05-16 00:00:00.000,2017-05-16 00:00:00.000,ip,00000000774E6D3F,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,CLEVERLY,,,,,0,2022-08-06 16:29:22.370 +0000
BINBOX1-CLEVERLY,BINBOX1,INFINITE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9999999,,,,,2018-06-06 00:00:00.000,2018-06-06 00:00:00.000,ip,00000000774E6D40,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,CLEVERLY,,,,,0,2022-08-06 16:29:22.370 +0000
